1061,ALASKA PACIFIC UNIVERSITY,AK,Anchorage,99508
4866,ANCHORAGE COMMUNITY COLLEGE,AK,Anchorage,99504
011462,UNIV AK ANCHORAGE,AK,Anchorage,99508
011045,UNIV ALASKA-FAIRBANKS,AK,Bethal,99559
4370,UNIV ALASKA FAIRBANKS,AK,Bethel,99559
999859,TANANA VALLEY COM COLLEGE,AK,Fairbanks,
1063,UNIV ALASKA-FAIRBANKS,AK,Fairbanks,99775
8843,ALASKA BIBLE COLLEGE,AK,Glennallen,99588
4366,UNIV ALASKA JUNEAU,AK,Juneau,99801
011463,UNIV ALASKA SE,AK,Juneau,99801
1067,UNIVERSITY ALASKA SE-KETCHI,AK,Ketchikan,99901
8315,KODIAK COLLEGE,AK,Kodiak,99615
1068,UNIVERSITY ALASKA-MATANUSKA,AK,Palmer,99645
1062,SHELDON JACKSON COLLEGE,AK,Sitka,99835
1069,UNIV ALASKA SE SITKA CAMPUS,AK,Sitka,99835
1066,UNIVERSITY ALASKA-KENAI PEN,AK,Soldotna,99669
4636,PRINCE WILLIAM SOUND CMTY COLL,AK,Valdez,99752
8988,LURLEEN B WALLACE ST JR COLL,AL,Andalusia,36420
5705,HARRY M AYER ST TECH,AL,Anniston,36202
1008,ATHENS STATE COLLEGE,AL,Athens,35611
8310,AUBURN UNIVERSITY,AL,Auburn Univ,36849
1009,AUBURN UNIVERSITY,AL,Auburn University,36849
1060,JAMES H. FAULKNER STATE JR COL,AL,Bay Minette,36507
1939,KANSAS NEWMAN COLLEGE,AL,Bay Minette,36507
5704,BESSEMER STATE TECH COLLEGE,AL,Bessemer,35021
1012,BIRMINGHAM SO COLLEGE,AL,Birmingham,35254
1022,JEFFERSON STATE COMMUNITY COLL,AL,Birmingham,35215
1059,LAWSON STATE COMM COLLEGE,AL,Birmingham,35221
021436,RETS ELECTRONIC INSTITUTE,AL,Birmingham,35234
1036,SAMFORD UNIVERSITY,AL,Birmingham,35229
1039,SOUTHEASTERN BIBLE COLLEGE,AL,Birmingham,35244
1052,UNIVERSITY ALABAMA-BIRMING,AL,Birmingham,35294
1038,SNEAD STATE JUNIOR COLLEGE,AL,Boaz,35957
1021,JEFFERSON DAVIS JR COLLEGE,AL,Brewton,36427
021706,UNITED STATES SPORTS ACADEMY,AL,Daphne,36526
1013,CALHOUN COMMUNITY COLLEGE,AL,Decatur,35609
1018,GEORGE C WALLACE COM COL,AL,Dothan,36303
1048,TROY STATE UNIV-DOTHAN,AL,Dothan,36304
1213,ENTERPRISE STATE JR COLLEGE,AL,Enterprise,36331
1015,ENTERPRISE STATE JR COLLEGE,AL,Enterprise,36331
5736,SPARKS STATE TECHNICAL COLL,AL,Eufaula,36072
5692,REID STATE TECH COLL,AL,Evergreen,36401
1028,MILES COLLEGE,AL,Fairfield,35064
9134,BREWER STATE JR COLL,AL,Fayette,35555
021997,HERITAGE CHRISTIAN UNIVERSITY,AL,Florence,35630
1016,UNIVERSITY NORTH ALABAMA,AL,Florence,35632
1017,GADSDEN STATE COM COLL,AL,Gadsden,35902
5260,J F DRAKE STATE TECH COLLEGE,AL,Huntsville,35811
1033,OAKWOOD COLLEGE,AL,Huntsville,35896
1055,UNIV ALABAMA-HUNTSVILLE,AL,Huntsville,35899
1020,JACKSONVILLE STATE UNIVERSITY,AL,Jacksonville,36265
1058,WALKER COLLEGE,AL,Jasper,35501
1024,UNIVERSITY WEST ALABAMA,AL,Livingston,35470
1023,JUDSON COLLEGE,AL,Marion,36756
1447,MARION MILITARY INSTITUTE,AL,Marion,36756
1026,MARION MILITARY INSTITUTE,AL,Marion,36756
012308,CMTY COLL AIR FORCE,AL,Maxwell Afb,36112
1030,BISHOP STATE COMMUNITY COLLEGE,AL,Mobile,36690
1029,MOBILE COLLEGE,AL,Mobile,36613
5247,SOUTHWEST STATE TECH,AL,Mobile,36605
1041,SPRING HILL COLLEGE,AL,Mobile,36608
1057,UNIV SO ALABAMA,AL,Mobile,36688
1034,ALABAMA SOUTHERN COM COLLEGE,AL,Monroeville,36460
1004,UNIV MONTEVALLO,AL,Montevallo,35115
1005,ALABAMA STATE UNIVERSITY,AL,Montgomery,36195
1003,FAULKNER UNIVERSITY-MAIN,AL,Montgomery,36109
1019,HUNTINGDON COLLEGE,AL,Montgomery,36106
5693,J M PATTERSON ST TCH,AL,Montgomery,36116
5734,TRENHOLM ST TECH COL,AL,Montgomery,36108
1049,TROY STATE UNIVERSITY-MONTG,AL,Montgomery,36103
5697,SHOALS COMMUNITY COL,AL,Muscle Shls,35661
1002,ALABAMA AGRICUL MECH UNIV*AL,AL,Normal,35762
5698,DOUGLAS MACARTHUR STATE TECH,AL,Opp,36467
3878,COLUMBIA SOUTHERN UNIVERSITY,AL,Orange Beach,36561-3845
5749,ALABAMA AVIATN TEC,AL,Ozark,36361
012182,CHATTAHOOCHEE VLY CC,AL,Phenix City,36869
1032,NORTHWEST ALABAMA COMM COLL,AL,Phil Campbell,35581
5696,NORTHWEST ALABAMA COM COL,AL,Phil Cmpbll,35581
1031,NORTHEAST ALABAMA ST COMM COL,AL,Rainsville,35986
1576,NORTHEAST ALABAMA ST JR COLL,AL,Rainsville,35986
010554,CONCORDIA COLLEGE,AL,Selma,36703
5699,GEORGE WALLACE COM COL-SELMA,AL,Selma,36702
1037,SELMA UNIVERSITY,AL,Selma,36701
5733,BEVILL STATE COMMUNITY COLLEGE,AL,Sumiton,35148
1046,TALLADEGA COLLEGE,AL,Talladega,35160
5701,HOBSON ST TECH,AL,Thanasville,36784
1047,TROY STATE UNIVERSITY,AL,Troy,36082
5248,FREED STATE TECHNICAL COLLEGE,AL,Tuscaloosa,35401
5691,SHELTON STATE COMM COLL,AL,Tuscaloosa,35405
1044,STILLMAN COLLEGE,AL,Tuscaloosa,35403
1051,"UNIVERSITY ALABAMA,",AL,Tuscaloosa,36487
1050,TUSKEGEE UNIVERSITY,AL,Tuskegee,36088
1040,SOUTHERN UN ST COLLEGE,AL,Wadley,36276
1098,HENDERSON STATE UNIVERSITY,AR,Arkadelphia,71999
1102,OUACHITA BAPTIST UNIVERSITY,AR,Arkadelphia,71998
1088,ARKANSAS COLLEGE,AR,Batesville,72503
1091,ARKANSAS STATE UNIVERSITY-BEEB,AR,Beebe,72012-1000
012860,ARKANSAS NE COLLEGE,AR,Blytheville,72315
6704,SOUTHERN ARKANSAS UNIV TECH,AR,Camden,71701
1094,UNIVERSITY OZARKS,AR,Clarksville,72830
1093,CENTRAL BAPTIST COLLEGE,AR,Conway,72034
1099,HENDRIX COLLEGE,AR,Conway,72032
1092,UNIVERSITY CENTRAL ARKANSAS,AR,Conway,72035
013176,STHRN ARK UN EL DOR,AR,El Dorado,71730
1108,UNIVERSITY ARKANSAS,AR,Fayetteville,72701
012260,EAST ARKANSAS COMMUNITY COLLEGE,AR,Forrest Cty,72335
1110,UNIVERSITY ARKANSAS AT FORT SMITH,AR,Fort Smith,72913
6220,WESTARK COMMUNITY COLLEGE,AR,Ft Smith,72913
012261,NORTH ARKANSAS COLLEGE,AR,Harrison,72601
1104,PHILLIPS COUNTY COMM COLLEGE,AR,Helena,72342
012105,NATIONAL PARK COMMUNITY COLLEGE,AR,Hot Springs,71913
1087,ARKANSAS BAPTIST COLLEGE,AR,Little Rock,72202
7474,CAPITOL CITY JR COL BUSINESS,AR,Little Rock,72214
010634,NATIONAL ED-AR COL TECHNOLOGY,AR,Little Rock,72207
1103,PHILANDER SMITH COLLEGE,AR,Little Rock,72202
1101,UNIVERSITY ARKANSAS LITTLE,AR,Little Rock,72204
1109,UNIVERSITY ARKANSAS-MEDICAL,AR,Little Rock,72205
1085,UNIVERSITY ARKANSAS-MONTICE,AR,Little Rock,71656
7738,SOUTHERN AR UNIV,AR,Magnolia,71753
1107,SOUTHERN ARKANSAS UNIV-MAIN,AR,Magnolia,71753
012435,RICH MOUNTAIN CMTY C,AR,Mena,71953
5245,UNIVERSITY ARKANSAS CC AT MORRILTON,AR,Morrilton,72110
1105,SHORTER COLLEGE,AR,North Little Rock,72114
6028,ARKANSAS VALLEY VOC-TECH SCH,AR,Ozark,72949
